urls,names,bio,birth,death,age,place
"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%80%D0%B0%D1%82%D1%8F%D0%BD,_%D0%90%D1%80%D0%BF%D0%B8%D0%BA_%D0%90%D1%88%D0%BE%D1%82%D0%BE%D0%B2%D0%BD%D0%B0","Асратян, Арпик Ашотовна","Арпик Ашотовна Асратян (арм. Հասրաթյան Արփիկ Աշոտի; 25 июня 1950, Ереван — 27 марта 2020, Москва[1]) — советский и российский эпидемиолог, вирусолог, инфекционист, специалист в области вирусных гепатитов, доктор медицинских наук, профессор.",25.06.1950,27.03.2020,69,Москва
"https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D0%B4%D0%B0%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9_%D0%A5%D0%B0%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87","Синдаловский, Григорий Хаимович",Григо́рий Ха́имович Синдало́вский (7 февраля 1928 (1928-02-07) — 7 апреля 2020) — советский и российский математик.,07.02.1928,07.04.2020,92,
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D1%80%D1%8F%D0%BD,_%D0%9C%D0%B8%D1%88%D0%B8%D0%BA_%D0%90%D0%B9%D1%80%D0%B0%D0%B7%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87","Казарян, Мишик Айразатович","Мишик Айразатович Казарян (28 февраля 1948, Раздан — 7 апреля 2020, Москва[1]) — советский и российский физик, крупный специалист в области лазерной физики и оптики. Доктор физико-математических наук, профессор. Лауреат Государственной премии СССР в области науки и техники (1980), иностранный член Национальной академии наук Республики Армения[2]. Создатель самого яркого импульсно-периодического лазера для видимой области спектра.",28.02.1948,07.04.2020,72,Москва
"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B4%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87","Радов, Александр Георгиевич","Алекса́ндр Гео́ргиевич Ра́дов (Вельш) (23 июля 1940 (1940-07-23), Ленинград — 16 апреля 2020, Москва) — советский и российский кинорежиссёр, сценарист, продюсер, журналист. Академик Международной академии телевидения и радио, член Союза писателей.",23.07.1940,16.04.2020,79,Москва
"https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D1%80%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Харченко, Владимир Петрович","Влади́мир Петро́вич Харченко (18 сентября[1] 1934, Крым — 19 апреля 2020[2], Москва) — советский и российский учёный-медик, хирург-онколог. Академик РАН (2013), РАМН (2000, член-корреспондент с 1995)[3], доктор медицинских наук, профессор (1985), заведующий кафедрой РУДН. В 1987—2009 годах — директор Российского научного центра рентгенорадиологии (РНЦРР), в последние годы жизни его научный руководитель. Являлся главным радиологом России.",18.09.1934,19.04.2020,85,Москва
"https://ru.wikipedia.org/wiki/%D0%92%D1%83%D1%81%D1%82%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B8%D1%87","Вустин, Александр Кузьмич","Алекса́ндр Кузьми́ч Ву́стин (24 апреля 1943, Москва[2] — 19 апреля 2020[1], Москва) — советский и российский композитор.",24.04.1943,19.04.2020,76,Москва
"https://ru.wikipedia.org/wiki/%D0%A9%D1%91%D0%B3%D0%BE%D0%BB%D0%B5%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Щёголев, Иван Александрович","Иван Александрович Щёголев (3 февраля 1961, Кемерово — 20 апреля 2020, Москва[1]) — российский кинорежиссёр, сценарист и актёр.",03.02.1961,20.04.2020,59,Москва
"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D1%8C%D0%BA%D0%B0,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Колька, Василий Васильевич","Василий Васильевич Колька (4 октября 1957, Виноградов, Закарпатская область — 23 апреля 2020[1], Мурманск) — российский учёный-геолог, заведующий лабораторией геологии и минерагении новейших отложений Геологического института КНЦ РАН, исследователь Кольского полуострова и Карелии, специализировался в геологии отложений четвертичного периода[2].",04.10.1957,23.04.2020,62,Мурманск
"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80%D0%BE%D0%B2,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87","Гончаров, Игорь Борисович","Игорь Борисович Гончаров (6 августа 1939, Москва — 24 апреля 2020, там же[1]) — советский и российский учёный-медик.
Доктор медицинских наук, профессор, сотрудник Государственного научного центра РФ Института медико-биологических проблем (ИМБП) РАН.
Заслуженный врач Российской Федерации (1996)[2].",06.08.1939,24.04.2020,80,Москва
https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B8%D0%B0%D0%BC%D0%B8%D0%BD_(%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%91%D0%B2),Вениамин (Королёв),"Епи́скоп Вениами́н (в миру Ви́ктор Анато́льевич Королёв; 26 октября 1965, село Верхососенье, Покровский район, Орловская область — 26 апреля 2020, Курск) — епископ Русской православной церкви, епископ Железногорский и Льговский (2012—2020).",26.10.1965,26.04.2020,54,Курск
