urls,names,bio,birth,death,place
"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%80%D0%B5%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Абаренов, Анатолий Анатольевич","Анато́лий Анато́льевич Абаре́нов (10 июля 1938, Москва — 19 апреля 2021, Таруса, Калужская область, Россия) — советский и российский мультипликатор, художник-иллюстратор.",10 июля 1938(1938-07-10),19 апреля 2021(2021-04-19) (82 года),"Таруса, Калужская область, Россия"
"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B5%D0%B5%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87","Авдеев, Владимир Борисович","Влади́мир Бори́сович Авде́ев  (24 марта 1962 — 5 декабря 2020) — российский писатель, публицист и создатель учения о «расологии», представляющего собой расовую теорию о решающем влиянии расовых различий и «превосходстве нордической расы» над другими. Состоял в редакционных коллегиях различных изданий, преимущественно расистской и националистической направленности, Совете координаторов Московской славянской языческой общины А. К. Белова[1], клубе славяно-горицкой борьбы[2].",24 марта 1962(1962-03-24),5 декабря 2020(2020-12-05) (58 лет),СССР Россия
"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%B5%D0%B2,_%D0%92%D0%B0%D1%85%D0%B0_%D0%90%D0%B1%D1%83%D0%B5%D0%B2%D0%B8%D1%87","Агаев, Ваха Абуевич","Ва́ха Абу́евич Ага́ев (15 марта 1953, Кзыл-Орда, Кзыл-Ординская область, Казахская ССР, СССР — 23 сентября 2020[3][4], Москва[1], Россия) — российский предприниматель и политический деятель, депутат Государственной думы Федерального собрания Российской Федерации VI и VII созывов от политической партии «КПРФ».",,"15 марта 1953(1953-03-15)Кзыл-Орда,Кзыл-Ординская область,Казахская ССР,СССР","23 сентября 2020(2020-09-23) (67 лет)Москва[1], Россия"
"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%BA%D1%83%D1%87%D1%83%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%A0%D0%BE%D0%B7%D0%B0_%D0%A1%D0%B0%D0%B1%D0%B8%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0","Аккучукова, Роза Сабирьяновна","Роза Сабирьяновна Аккучукова (12 февраля 1950, Абзаково, СССР — 8 февраля 2021, Уфа, Россия[3]) — певица, народная артистка Башкортостана (2009).",12 февраля 1950(1950-02-12),8 февраля 2021(2021-02-08)[1][2] (70 лет),"Уфа, Россия"
"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D1%91%D0%BD%D0%BE%D0%B2,_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D0%B8%D0%B9_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Аксёнов, Виталий Евгеньевич","Виталий Евгеньевич Аксёнов (21 марта 1931, Ростов-на-Дону, РСФСР, СССР — 16 октября 2020, Санкт-Петербург, Россия[1]) — советский и российский режиссёр-постановщик и сценарист. Заслуженный деятель искусств Российской Федерации (2008)[2].",21 марта 1931(1931-03-21),16 октября 2020(2020-10-16) (89 лет),"Санкт-Петербург, Россия"
"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Александров, Борис Юрьевич","Бори́с Ю́рьевич Александрóв (11 сентября 1947, Уфа, Башкирская АССР, РСФСР, СССР — 30 ноября 2020, Москва, Россия[1][2][3]) — советский и российский врач-терапевт, предприниматель, президент группы компаний «Ростагрокомплекс», создатель бренда «Б. Ю. Александров» по выпуску глазированных сырков высокого качества[4][5]. Писатель, трижды лауреат российской премии «Предприниматель года» (2004, 2006, 2007), вице-президент «Академии проблем качества РФ» и «Российской академии бизнеса и предпринимательства»[6].",11 сентября 1947(1947-09-11),30 ноября 2020(2020-11-30) (73 года),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%B2,_%D0%9C%D0%B0%D0%B3%D0%BE%D0%BC%D0%B5%D0%B4_%D0%90%D0%BB%D0%B8%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Алиомаров, Магомед Алиомарович","Магомед Алиомарович Алиомаров (29 мая 1952, Тлярош, Чародинский район, Дагестанская АССР, РСФСР, СССР — 13 мая 2020 Махачкала, Дагестан, Россия) — советский борец, советский и российский тренер по борьбе, главный тренер женской сборной России по борьбе (2019—2020). Заслуженный тренер России.",мужской,Россия,вольная борьба
https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B2%D1%80%D0%BE%D1%81%D0%B8%D0%B9_(%D0%AE%D1%80%D0%B0%D1%81%D0%BE%D0%B2),Амвросий (Юрасов),"Архимандри́т Амвро́сий (в миру Алекса́ндр Игна́тьевич Юра́сов; 8 сентября или 10 сентября[1]. 1938, село Огни, Алтайский край — 7 мая 2020, Россия) — священнослужитель Русской православной церкви, проповедник и писатель, духовник православного общества «Радонеж». Основатель (1991) и духовный руководитель Введенского женского монастыря в Иванове.",10 сентября 1938(1938-09-10),7 мая 2020(2020-05-07) (81 год),"Иваново, Россия"
"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B8%D1%80%D0%B4%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%90%D1%80%D1%82%D1%91%D0%BC_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Амирджанов, Артём Аркадьевич","Артём Аркадьевич Амирджанов (18 ноября 1945, Баку — 31 августа 2020, Омск) — советский футболист, советский и российский тренер; функционер.",Артём Аркадьевич Амирджанов,"31 августа 2020(2020-08-31) (74 года)Омск, Россия",СССР Россия
"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87_(%D1%83%D1%87%D1%91%D0%BD%D1%8B%D0%B9)","Андреев, Владимир Александрович (учёный)","Владимир Александрович Андреев (1951—2020) — советский и российский учёный, педагог и организатор науки, доктор технических наук (1992), профессор (1994). Заслуженный деятель науки Российской Федерации (2010). Ректор (2002—2016) и президент (2016—2020) Поволжского государственного университета телекоммуникаций и информатики.",2002,"Витевский, Владимир Борисович","Мишин, Дмитрий Викторович"
"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0","Антонова, Ирина Александровна","Ири́на Алекса́ндровна Анто́нова (20 марта 1922, Москва — 30 ноября 2020[1], там же) — советский и российский учёный-искусствовед, специалист по итальянской живописи эпохи Возрождения, телеведущая. Директор (1961—2013)[2] и президент (2013—2020) Государственного музея изобразительных искусств имени А. С. Пушкина в Москве. Доктор искусствоведения.",Ирина Александровна Антонова,"Москва, РСФСР",30 ноября 2020(2020-11-30) (98 лет)
"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D1%88%D0%BA%D0%B8%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Антошкин, Николай Тимофеевич","Николай Тимофеевич Антошкин (19 декабря 1942, Кузьминовка, Башкирская АССР — 17 января 2021, Москва[1]) — советский и российский военный и политический деятель. Генерал-полковник авиации (1994), военный лётчик 1-го класса, Заслуженный военный лётчик Российской Федерации (1993). Ликвидатор аварии на Чернобыльской АЭС, Герой Советского Союза (1986). Депутат Государственной Думы VI и VII созывов, член фракции «Единая Россия».",,"19 декабря 1942(1942-12-19)Кузьминовка, Фёдоровский район, Башкирская АССР, РСФСР, СССР","17 января 2021(2021-01-17) (78 лет)Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B1%D0%B8%D1%82%D0%BC%D0%B0%D0%BD,_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%AD%D0%BC%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Арбитман, Роман Эмильевич","Роман Эмильевич Арбитман (7 апреля 1962[1], Саратов — 18 декабря 2020[2], Саратов[3]) — русский прозаик, писатель-фантаст, литературный критик, педагог.","Рустам Станиславович Кац, Лев Гурский, Эдуард Бабкин, Аркадий Данилов, Андрей Макаров","Саратов, РСФСР, СССР",18 декабря 2020(2020-12-18)[2] (58 лет)
https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_(%D0%90%D1%84%D0%BE%D0%BD%D0%B8%D0%BD),Аркадий (Афонин),"Епи́скоп Арка́дий (в миру Александр Петрович Афонин; 15 июля 1943, село Чекалино, Сергиевский район, Куйбышевская область — 3 июня 2021) — епископ Русской православной церкви на покое, епископ Южно-Сахалинский и Курильский (1993—1997, 1999—2001), епископ Томский и Асиновский (1997—1998).",29 декабря 1999 — 17 июля 2001,Ионафан (Цветков),Даниил (Доровских)
"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%80%D0%B0%D1%82%D1%8F%D0%BD,_%D0%90%D1%80%D0%BF%D0%B8%D0%BA_%D0%90%D1%88%D0%BE%D1%82%D0%BE%D0%B2%D0%BD%D0%B0","Асратян, Арпик Ашотовна","Арпик Ашотовна Асратян (арм. Հասրաթյան Արփիկ Աշոտի; 25 июня 1950, Ереван — 27 марта 2020, Москва[1]) — советский и российский эпидемиолог, вирусолог, инфекционист, специалист в области вирусных гепатитов, доктор медицинских наук, профессор.",,,
"https://ru.wikipedia.org/wiki/%D0%90%D1%8E%D0%BF%D0%BE%D0%B2,_%D0%90%D0%B1%D1%80%D0%B5%D0%BA_%D0%98%D0%B4%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87","Аюпов, Абрек Идрисович","Абрек Идрисович Аюпов (22 февраля 1936, Юдинский район, Татарская АССР, РСФСР, СССР — 12 июня 2020, Москва) — советский и российский военачальник, учёный в области испытаний авиационной техники, вооружения и системных исследований в авиации. Заместитель главнокомандующего ВВС по вооружению — начальник вооружения (1989—1995).",22 февраля 1936(1936-02-22),12 июня 2020(2020-06-12) (84 года),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%B8%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Бабин, Николай Андреевич","Николай Андреевич Бабин (18 сентября 1944, Аромашево, Тюменская область — 3 июля 2021[1]) — российский государственный деятель, председатель Государственной Думы Ямало-Ненецкого автономного округа, член Совета Федерации от Ямало-Ненецкого автономного округа.","18 сентября 1944(1944-09-18)Аромашево, Тюменская область, РСФСР, СССР",Государственный аграрный университет Северного Зауралья,кандидат биологических наук
